WARNING 2024-03-04 21:17:06,533 log 6904 19816 Not Found: /
WARNING 2024-03-04 21:17:06,534 basehttp 6904 19816 "GET / HTTP/1.1" 404 2185
WARNING 2024-03-04 21:17:12,925 log 6904 19816 Not Found: /home
WARNING 2024-03-04 21:17:12,926 basehttp 6904 19816 "GET /home HTTP/1.1" 404 2215
INFO 2024-03-04 21:26:52,539 autoreload 19656 18408 Watching for file changes with StatReloader
INFO 2024-03-04 21:27:10,693 autoreload 19656 18408 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 21:27:12,779 autoreload 20148 17572 Watching for file changes with StatReloader
ERROR 2024-03-04 21:27:38,271 exception 20148 21156 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 21:27:38,338 log 20148 21156 Bad Request: /
WARNING 2024-03-04 21:27:38,340 basehttp 20148 21156 "GET / HTTP/1.1" 400 79073
WARNING 2024-03-04 21:27:53,283 log 20148 1728 Not Found: /
WARNING 2024-03-04 21:27:53,284 basehttp 20148 1728 "GET / HTTP/1.1" 404 2192
INFO 2024-03-04 22:06:15,365 autoreload 19972 3064 Watching for file changes with StatReloader
ERROR 2024-03-04 22:06:17,977 exception 19972 20748 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 22:06:18,028 log 19972 20748 Bad Request: /
WARNING 2024-03-04 22:06:18,029 basehttp 19972 20748 "GET / HTTP/1.1" 400 79073
WARNING 2024-03-04 22:06:55,725 log 19972 1412 Not Found: /
WARNING 2024-03-04 22:06:55,726 basehttp 19972 1412 "GET / HTTP/1.1" 404 2346
INFO 2024-03-04 22:07:02,936 basehttp 19972 1412 "GET /banner HTTP/1.1" 301 0
INFO 2024-03-04 22:07:03,115 basehttp 19972 1412 "GET /banner/ HTTP/1.1" 200 5182
INFO 2024-03-04 22:07:03,175 basehttp 19972 1412 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2024-03-04 22:07:03,181 basehttp 19972 17316 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2024-03-04 22:07:03,200 basehttp 19972 13448 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2024-03-04 22:07:03,210 basehttp 19972 16644 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2024-03-04 22:07:03,262 basehttp 19972 16644 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2024-03-04 22:07:03,266 basehttp 19972 17316 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2024-03-04 22:07:03,267 basehttp 19972 3424 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2024-03-04 22:07:03,268 basehttp 19972 1412 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2024-03-04 22:07:03,278 basehttp 19972 16644 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2024-03-04 22:07:03,281 basehttp 19972 13448 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2024-03-04 22:07:03,311 basehttp 19972 2900 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2024-03-05 19:19:09,945 autoreload 11300 20648 Watching for file changes with StatReloader
ERROR 2024-03-05 19:19:14,267 exception 11300 7696 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
ERROR 2024-03-05 19:19:19,082 basehttp 11300 7696 "GET / HTTP/1.1" 500 59
ERROR 2024-03-05 19:19:19,368 exception 11300 7696 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
